Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
85 Antoine Turcotte,12,"2,4,5,7,9,10,12,15,16,17,18,19",4,8,3,4,11,8,11,11,0,0,2,0,1,1,0,0,0,0,106.66,52.79,10.67,5.28,119.36,17.23,10.85,1.57
08 Chassy Jones,12,"2,4,5,7,9,10,12,14,15,16,17,19",5,7,4,4,28,9,25,21,7,3,1,3,4,4,0,1,0,0,289.89,171.28,13.80,8.16,215.96,104.52,10.28,4.98
09 Chase Alexander,11,"1,3,6,8,11,13,14,16,17,18,19",6,5,4,2,20,8,20,20,0,2,1,0,1,1,0,0,0,0,200.69,96.35,10.56,5.07,247.38,130.01,12.37,6.50
17 Kaiden Yu,10,"2,4,5,7,9,10,12,15,16,17",3,7,2,4,5,3,5,5,0,0,0,0,0,0,0,1,0,0,56.45,5.00,11.29,1.00,70.26,17.58,14.05,3.52
22 Theo Chandler-Nantel,10,"1,3,4,6,8,11,13,14,18,19",7,3,5,0,29,7,29,27,2,2,2,0,1,1,0,0,0,0,355.87,201.72,12.71,7.20,285.08,78.07,10.56,2.89
50 Loic Cleveland,10,"2,4,5,7,9,10,12,14,15,17",4,6,3,3,17,8,14,17,0,1,2,3,2,2,0,1,0,0,129.36,57.15,10.78,4.76,226.05,146.18,13.30,8.60
28 Connor Rycroft,9,"1,3,6,8,11,13,17,18,19",5,4,3,1,11,7,11,10,1,0,1,0,1,1,0,1,0,0,104.99,33.84,10.50,3.38,103.44,44.35,10.34,4.43
35 Sammy ten Den,8,"1,3,6,8,11,13,14,19",6,2,4,0,9,4,8,7,2,0,0,1,2,1,1,0,0,0,78.59,17.80,11.23,2.54,68.28,44.07,9.75,6.30
33 Philippe Gaulin,8,"2,4,7,9,10,15,16,18",3,5,2,2,17,4,17,12,5,1,0,0,2,2,0,1,0,0,181.50,72.02,12.10,4.80,132.94,62.15,11.08,5.18
15 Ben Willis,8,"2,5,7,10,14,16,17,18",3,5,2,3,4,3,4,3,1,1,0,0,0,0,0,1,0,0,31.86,9.84,7.97,2.46,41.35,31.31,13.78,10.44
64 Evan Daigeler,8,"2,5,9,10,12,15,16,18",1,7,1,3,9,5,8,9,0,0,1,1,0,0,0,0,0,0,99.26,25.08,12.41,3.13,109.13,16.51,12.13,1.83
20 Declan Brook,6,"1,3,6,8,11,13",4,2,2,0,7,4,7,2,5,0,0,0,0,0,0,0,0,0,95.30,60.11,13.61,8.59,14.07,-7.29,7.04,-3.65
31 Spencer Burrell,6,"1,6,8,11,13,19",5,1,3,0,3,3,1,3,0,0,0,2,0,0,0,0,0,0,14.12,8.36,14.12,8.36,86.31,73.84,28.77,24.61
26 Mathieu Cormier,4,"3,6,11,14",2,2,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,25.99,-14.44,12.99,-7.22,34.28,13.22,17.14,6.61
07 Justin Daugherty,4,"1,3,8,13",3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,23.40,2.00,11.70,1.00,25.29,17.30,12.64,8.65
29 Isaac Bellini,4,"4,7,12,15",2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.65,1.43,7.65,1.43,9.27,-0.79,9.27,-0.79
92 Grayson Estabrooks,3,"5,9,12",0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.81,6.58,8.81,6.58,15.18,15.01,15.18,15.01
