Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 Chassy Jones,7,"1,2,4,7,10,11,12",2,5,2,2,7,4,7,2,5,2,0,0,1,1,0,1,0,0,84.08,45.53,14.01,7.59,19.12,2.14,9.56,1.07
50 Loic Cleveland,7,"2,3,4,7,10,11,12",1,6,1,3,5,4,4,5,0,0,2,1,0,0,0,0,0,0,46.74,16.80,11.69,4.20,101.67,72.19,20.33,14.44
09 Chase Alexander,6,"1,5,6,8,9,12",6,0,4,0,9,5,9,9,0,0,1,0,1,1,0,0,0,0,94.49,55.97,11.81,7.00,136.73,30.31,15.19,3.37
17 Kaiden Yu,6,"2,3,4,10,11,12",1,5,1,3,4,3,2,4,0,0,0,2,1,1,0,0,0,0,12.45,9.65,12.45,9.65,57.80,29.02,14.45,7.26
35 Sammy ten Den,6,"1,5,6,8,9,12",6,0,4,0,10,5,9,9,1,1,1,1,0,0,0,0,0,0,94.36,38.88,10.48,4.32,76.07,33.02,8.45,3.67
07 Justin Daugherty,6,"1,5,6,8,9,12",6,0,4,0,7,3,6,7,0,1,0,1,0,0,0,0,0,0,78.12,56.75,13.02,9.46,115.89,99.21,16.56,14.17
85 Antoine Turcotte,6,"2,3,7,9,10,11",1,5,1,3,3,3,3,1,2,0,0,0,0,0,0,1,0,0,35.36,26.66,11.79,8.89,9.69,0.71,9.69,0.71
22 Theo Chandler-Nantel,5,"1,5,6,8,12",5,0,3,0,20,5,20,18,2,1,0,0,1,1,0,0,0,0,228.63,38.24,12.03,2.01,169.11,70.34,9.40,3.91
20 Declan Brook,5,"1,5,6,8,9",5,0,3,0,13,6,13,10,3,1,1,0,0,0,0,0,0,0,167.41,103.36,12.88,7.95,103.52,20.16,10.35,2.02
31 Spencer Burrell,5,"1,5,6,8,9",5,0,3,0,4,4,3,4,0,0,0,1,0,0,0,0,0,0,21.08,10.94,7.03,3.65,64.58,40.53,16.15,10.13
33 Philippe Gaulin,5,"2,3,4,10,11",0,5,0,3,2,2,2,2,0,0,0,0,1,1,0,1,0,0,16.63,-4.15,16.63,-4.15,23.33,16.08,11.67,8.04
29 Isaac Bellini,4,"3,7,10,11",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26 Mathieu Cormier,4,"2,7,10,11",0,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.89,-7.08,14.89,-7.08,12.45,9.65,12.45,9.65
15 Ben Willis,3,"2,4,7",0,3,0,1,3,2,2,3,0,0,0,1,1,1,0,0,0,0,9.69,0.71,9.69,0.71,40.72,27.02,13.57,9.01
64 Evan Daigeler,3,"3,4,7",0,3,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,61.73,59.76,30.87,29.88,16.62,6.79,16.62,6.79
28 Connor Rycroft,2,"6,9",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Thomas Cain,2,"5,8",2,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,13.87,-5.65,13.87,-5.65
92 Grayson Estabrooks,2,"3,4",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
