Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Philippe Gaulin,8,"1,2,4,7,8,10,14,15",0,8,0,5,19,6,19,9,10,1,1,0,2,2,0,0,0,0,218.76,87.85,13.67,5.49,130.09,34.88,14.45,3.88
85 Antoine Turcotte,8,"1,2,4,7,8,10,14,15",0,8,0,5,6,2,6,6,0,0,0,0,1,1,0,2,0,0,73.72,13.44,14.74,2.69,75.56,-0.07,12.59,-0.01
08 Chassy Jones,8,"1,2,4,7,8,10,14,15",0,8,0,5,18,5,17,12,6,1,3,1,4,3,1,3,0,0,217.76,131.67,15.55,9.40,119.74,55.83,9.98,4.65
09 Chase Alexander,8,"3,5,6,9,11,12,13,15",5,3,4,1,12,6,11,12,0,2,0,1,1,0,1,0,0,0,134.25,79.99,12.20,7.27,181.08,110.22,15.09,9.19
35 Sammy ten Den,7,"3,5,6,9,11,12,13",5,2,4,1,9,6,9,8,1,0,2,0,1,1,0,0,0,0,87.50,51.11,12.50,7.30,97.57,66.48,12.20,8.31
50 Loic Cleveland,7,"2,4,7,8,10,14,15",0,7,0,4,13,5,12,12,1,1,0,1,4,3,1,1,0,0,85.22,33.88,9.47,3.76,215.92,117.73,17.99,9.81
31 Spencer Burrell,7,"3,5,6,9,11,12,13",5,2,4,1,3,3,2,3,0,0,0,1,0,0,0,1,0,0,8.46,8.43,8.46,8.43,69.75,65.48,23.25,21.83
22 Theo Chandler-Nantel,7,"3,5,6,9,11,12,13",5,2,4,1,21,6,20,17,4,2,2,1,1,1,0,0,0,0,297.01,208.51,15.63,10.97,184.78,31.45,10.87,1.85
07 Justin Daugherty,7,"3,5,6,9,11,12,13",5,2,4,1,9,5,7,8,1,0,0,2,1,1,0,1,0,0,55.72,26.73,9.29,4.46,100.92,87.56,12.62,10.95
20 Declan Brook,7,"3,5,6,9,11,12,13",5,2,4,1,8,6,8,4,4,1,0,0,1,0,1,0,0,0,127.03,69.41,15.88,8.68,53.84,25.52,13.46,6.38
26 Mathieu Cormier,6,"1,2,7,8,10,15",0,6,0,3,4,3,3,4,0,0,0,1,0,0,0,0,0,0,26.98,-8.58,8.99,-2.86,53.53,29.16,13.38,7.29
15 Ben Willis,5,"2,4,7,8,14",0,5,0,4,5,4,4,4,1,2,0,1,0,0,0,1,0,0,94.82,78.20,23.71,19.55,60.98,51.61,15.25,12.90
64 Evan Daigeler,5,"1,4,7,8,14",0,5,0,4,3,2,2,3,0,0,0,1,0,0,0,1,0,0,20.65,20.44,10.32,10.22,33.69,29.45,11.23,9.82
17 Kaiden Yu,4,"1,2,10,14",0,4,0,3,3,2,3,3,0,0,0,0,2,2,0,2,0,0,10.80,-6.65,10.80,-6.65,50.50,32.38,16.83,10.79
92 Grayson Estabrooks,4,"1,4,10,15",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28 Connor Rycroft,4,"3,6,11,13",3,1,3,1,4,3,4,4,0,0,1,0,0,0,0,0,0,0,36.84,-17.94,9.21,-4.49,58.87,39.53,14.72,9.88
45 Thomas Cain,3,"5,9,12",2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
