Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
50 Loic Cleveland,10,"4,6,7,9,11,12,13,15,17,19",2,8,2,1,7,4,6,5,2,0,1,1,3,2,1,3,0,0,50.37,35.95,12.59,8.99,54.59,35.24,10.92,7.05
85 Antoine Turcotte,9,"4,6,9,11,12,13,15,17,19",2,7,2,1,8,4,8,6,2,0,1,0,1,1,0,1,0,0,83.22,33.81,11.89,4.83,55.53,0.86,9.25,0.14
35 Sammy ten Den,9,"3,5,6,8,10,12,14,16,18",8,1,6,0,9,5,9,7,2,0,1,0,0,0,0,0,0,0,97.95,52.82,10.88,5.87,60.09,29.59,8.58,4.23
09 Chase Alexander,9,"3,5,6,8,10,12,14,16,18",8,1,6,0,19,6,16,19,0,2,0,3,2,1,1,0,0,0,192.79,92.85,12.85,6.19,298.00,166.33,15.68,8.75
31 Spencer Burrell,8,"3,5,6,8,10,14,16,18",8,0,6,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,98.45,98.43,49.22,49.21
20 Declan Brook,8,"3,5,6,8,10,14,16,18",8,0,6,0,18,8,18,10,8,2,2,0,1,1,0,0,0,0,230.67,102.29,13.57,6.02,113.67,50.75,11.37,5.08
22 Theo Chandler-Nantel,8,"3,5,8,10,12,14,16,18",7,1,5,0,19,7,18,17,2,1,1,1,4,3,1,1,0,0,242.17,141.39,16.14,9.43,176.97,66.98,10.41,3.94
08 Chassy Jones,8,"4,7,11,12,13,15,17,19",1,7,1,1,13,4,13,9,4,1,0,0,3,3,0,1,0,0,148.94,74.27,14.89,7.43,98.77,14.01,10.97,1.56
07 Justin Daugherty,7,"3,5,8,10,14,16,18",7,0,5,0,3,3,3,3,0,0,1,0,1,1,0,0,0,0,18.22,16.87,9.11,8.43,37.83,19.87,12.61,6.62
33 Philippe Gaulin,7,"4,7,9,12,13,17,19",0,7,0,1,3,2,3,2,1,1,0,0,1,0,1,0,0,0,40.94,26.09,13.65,8.70,29.73,11.72,14.86,5.86
17 Kaiden Yu,7,"4,7,9,13,15,17,19",0,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,11.69,11.58,11.69,11.58
28 Connor Rycroft,7,"3,5,6,8,14,16,18",7,0,6,0,3,2,3,3,0,1,0,0,0,0,0,0,0,0,35.67,19.01,11.89,6.34,32.73,16.15,10.91,5.38
15 Ben Willis,6,"7,9,11,15,17,19",1,5,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,25.06,2.57,12.53,1.29,29.56,15.30,14.78,7.65
29 Isaac Bellini,5,"4,9,10,13,17",1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.35,2.50,5.35,2.50,8.18,4.65,8.18,4.65
64 Evan Daigeler,4,"7,9,11,15",1,3,1,0,2,1,2,1,1,0,0,0,1,1,0,0,0,0,9.86,9.72,9.86,9.72,12.60,7.15,12.60,7.15
92 Grayson Estabrooks,4,"7,11,13,19",1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.95,-6.22,8.95,-6.22,18.57,7.22,18.57,7.22
26 Mathieu Cormier,3,"4,11,15",1,2,1,0,3,2,2,3,0,0,0,1,0,0,0,0,0,0,24.53,2.86,12.27,1.43,75.78,59.40,25.26,19.80
