Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Philippe Gaulin,8,"1,2,5,8,10,12,16,17",0,8,0,7,6,5,5,4,2,0,3,1,0,0,0,0,0,0,60.36,30.52,12.07,6.10,56.40,51.39,14.10,12.85
97 Josh Moore,7,"3,4,6,9,11,14,16",3,4,2,4,23,6,23,18,5,1,1,0,3,3,0,3,0,0,210.29,98.71,11.07,5.20,183.97,33.52,10.22,1.86
22 Theo Chandler-Nantel,7,"3,4,6,9,11,14,17",3,4,2,4,24,7,24,19,5,0,3,0,0,0,0,0,0,0,270.35,88.56,11.26,3.69,169.32,-2.93,8.91,-0.15
85 Antoine Turcotte,7,"1,2,5,7,9,12,17",0,7,0,6,12,3,9,12,0,0,1,3,0,0,0,1,0,0,88.25,-9.36,9.81,-1.04,143.65,94.64,11.97,7.89
08 Chassy Jones,7,"1,2,5,6,8,10,13",0,7,0,6,16,6,15,12,4,4,1,1,1,1,0,0,0,0,218.53,140.53,15.61,10.04,131.11,10.08,10.93,0.84
15 Ben Willis,6,"2,5,8,10,13,16",0,6,0,5,4,3,2,4,0,0,0,2,0,0,0,1,0,0,18.67,-15.01,9.33,-7.51,55.90,55.40,13.97,13.85
17 Kaiden Yu,6,"1,2,6,9,12,15",0,6,0,5,4,4,3,4,0,1,0,1,0,0,0,0,0,0,65.75,53.75,21.92,17.92,45.69,28.73,11.42,7.18
28 Connor Rycroft,6,"3,4,6,9,14,16",2,4,1,4,15,5,13,15,0,2,0,2,0,0,0,0,0,0,128.19,56.40,9.86,4.34,207.18,127.66,13.81,8.51
45 Thomas Cain,6,"3,4,7,11,14,17",3,3,2,3,3,3,2,3,0,0,0,1,0,0,0,0,0,0,27.05,23.66,13.53,11.83,32.45,19.16,10.82,6.39
29 Isaac Bellini,6,"1,2,6,9,12,15",0,6,0,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,9.04,9.01,9.04,9.01,7.54,-2.57,7.54,-2.57
35 Sammy ten Den,6,"1,5,8,10,13,17",0,6,0,6,5,4,5,5,0,1,0,0,0,0,0,0,0,0,54.64,12.37,10.93,2.47,55.96,-10.94,11.19,-2.19
32 Kian Mashaie,6,"3,4,7,11,13,15",3,3,2,3,16,6,16,12,4,1,1,0,0,0,0,1,0,0,164.65,58.47,10.29,3.65,104.90,16.15,8.74,1.35
92 Grayson Estabrooks,6,"5,8,12,13,15,16",0,6,0,6,3,2,3,3,0,0,1,0,0,0,0,1,0,0,28.80,-19.30,9.60,-6.43,31.95,25.16,10.65,8.39
64 Evan Daigeler,6,"4,7,11,14,15,17",2,4,2,4,3,2,3,2,1,1,0,0,1,0,1,0,0,0,24.24,11.94,8.08,3.98,27.75,14.51,13.87,7.26
20 Declan Brook,6,"2,6,8,10,12,15",0,6,0,5,12,5,11,10,2,2,0,1,2,2,0,0,0,0,105.21,39.60,11.69,4.40,135.32,70.05,13.53,7.01
31 Spencer Burrell,6,"3,4,9,11,13,16",3,3,2,3,2,2,1,2,0,0,0,1,1,0,1,0,0,0,9.53,7.22,9.53,7.22,25.16,20.80,12.58,10.40
34 Rohan Smith,6,"1,5,7,10,14,16",0,6,0,6,5,3,5,5,0,1,0,0,1,1,0,0,0,0,77.16,57.97,19.29,14.49,61.95,44.96,12.39,8.99
07 Justin Daugherty,6,"3,7,10,11,14,17",2,4,1,4,5,4,3,5,0,0,1,2,0,0,0,0,0,0,40.73,26.45,13.58,8.82,97.58,88.28,19.52,17.66
26 Mathieu Cormier,5,"7,8,12,13,15",0,5,0,5,6,4,6,6,0,0,3,0,1,0,1,1,0,0,46.00,24.37,7.67,4.06,74.04,21.44,12.34,3.57
