Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
26 Mathieu Cormier,7,"4,6,7,10,11,13,15",1,6,1,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,46.05,28.59,23.02,14.30,21.23,3.50,10.61,1.75
92 Grayson Estabrooks,7,"5,7,8,10,11,13,15",0,7,0,7,3,3,2,2,1,0,1,1,0,0,0,1,0,0,16.64,9.36,8.32,4.68,29.14,26.09,14.57,13.05
31 Spencer Burrell,7,"1,4,7,10,11,13,16",1,6,1,6,8,5,6,8,0,2,0,2,0,0,0,0,0,0,59.03,40.67,9.84,6.78,107.55,53.61,13.44,6.70
15 Ben Willis,7,"5,7,8,10,11,13,15",0,7,0,7,4,4,4,3,1,1,2,0,0,0,0,2,0,0,47.24,25.88,11.81,6.47,33.43,23.37,11.14,7.79
97 Josh Moore,7,"1,4,9,10,11,14,16",1,6,1,6,9,6,7,8,1,2,1,2,0,0,0,0,0,0,84.58,60.33,12.08,8.62,103.51,64.40,12.94,8.05
20 Declan Brook,6,"2,3,5,8,12,14",0,6,0,5,2,2,2,1,1,0,0,0,0,0,0,0,0,0,19.64,6.50,9.82,3.25,11.05,10.29,11.05,10.29
34 Rohan Smith,6,"2,3,6,10,11,14",0,6,0,5,3,2,1,3,0,0,0,2,0,0,0,0,0,0,14.03,13.51,14.03,13.51,36.84,31.74,12.28,10.58
35 Sammy ten Den,6,"2,3,5,8,13,15",0,6,0,5,6,4,6,3,3,0,2,0,1,1,0,0,0,0,61.28,9.86,12.26,1.97,35.44,1.36,11.81,0.45
32 Kian Mashaie,6,"1,4,9,12,14,16",1,5,1,5,6,5,6,4,2,1,4,0,1,0,1,0,0,0,92.88,77.13,15.48,12.85,49.02,9.94,12.26,2.48
33 Philippe Gaulin,6,"2,3,5,8,12,15",0,6,0,5,3,2,3,1,2,1,0,0,2,1,1,1,0,0,24.66,18.08,12.33,9.04,15.09,13.37,15.09,13.37
22 Theo Chandler-Nantel,6,"1,4,9,12,14,16",1,5,1,5,10,5,10,5,5,2,0,0,0,0,0,0,0,0,125.65,63.33,12.57,6.33,56.50,32.52,11.30,6.50
64 Evan Daigeler,6,"1,6,7,9,12,16",0,6,0,6,2,1,2,0,2,0,0,0,1,1,0,1,0,0,10.29,10.29,10.29,10.29,0.00,0.00,0.00,0.00
17 Kaiden Yu,6,"2,3,5,8,13,15",0,6,0,5,4,4,2,4,0,1,0,2,0,0,0,2,0,0,33.40,16.94,16.70,8.47,48.87,27.38,12.22,6.84
45 Thomas Cain,6,"1,6,7,9,13,16",0,6,0,6,3,2,2,3,0,1,0,1,0,0,0,0,0,0,17.12,9.79,8.56,4.90,27.55,24.73,9.18,8.24
08 Chassy Jones,6,"2,3,5,8,12,15",0,6,0,5,10,4,8,7,3,2,1,2,1,1,0,0,0,0,81.73,56.83,13.62,9.47,76.39,34.24,10.91,4.89
07 Justin Daugherty,6,"4,6,9,12,14,16",1,5,1,5,6,4,4,6,0,1,0,2,0,0,0,0,0,0,30.92,22.02,10.31,7.34,72.84,57.18,12.14,9.53
29 Isaac Bellini,5,"2,3,6,10,14",0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28 Connor Rycroft,3,"1,4,9",1,2,1,2,4,3,4,4,0,1,0,0,0,0,0,0,0,0,42.83,17.80,10.71,4.45,44.27,32.31,11.07,8.08
85 Antoine Turcotte,2,"6,7",0,2,0,2,2,1,1,2,0,0,1,1,0,0,0,0,0,0,5.60,3.22,5.60,3.22,44.87,44.10,22.43,22.05
09 Chase Alexander,1,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
