Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
97 Josh Moore,15,"1,2,4,6,8,9,10,12,13,15,16,17,18,19,21",11,4,9,1,21,11,21,21,0,1,2,0,1,1,0,0,0,0,302.76,184.92,15.14,9.25,292.91,167.69,13.95,7.99
22 Theo Chandler-Nantel,14,"1,2,4,6,8,10,12,13,15,16,18,19,20,21",11,3,9,1,31,11,31,29,2,2,1,0,1,1,0,1,0,0,447.49,231.67,14.92,7.72,316.16,77.77,10.90,2.68
28 Connor Rycroft,12,"1,2,4,6,8,10,13,15,16,18,19,21",11,1,9,1,15,8,12,14,1,2,1,3,1,1,0,0,0,0,117.59,43.32,10.69,3.94,220.71,167.55,15.77,11.97
07 Justin Daugherty,11,"1,2,4,6,8,13,15,16,17,19,21",9,2,8,1,7,4,5,7,0,0,1,2,0,0,0,0,0,0,80.45,45.03,16.09,9.01,127.30,103.93,18.19,14.85
08 Chassy Jones,11,"3,5,7,9,11,12,14,16,17,19,21",2,9,2,2,7,4,7,3,4,1,0,0,0,0,0,1,0,0,87.46,39.17,12.49,5.60,37.05,19.51,12.35,6.50
31 Spencer Burrell,10,"1,2,6,8,10,13,15,18,19,21",10,0,8,0,4,3,2,4,0,0,1,2,0,0,0,0,0,0,21.71,-11.58,10.85,-5.79,88.61,82.84,22.15,20.71
85 Antoine Turcotte,9,"3,5,7,9,11,14,16,17,20",0,9,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32 Kian Mashaie,9,"1,4,6,10,13,15,18,19,21",9,0,7,0,26,9,25,20,6,2,3,1,2,2,0,0,0,0,274.27,150.82,11.92,6.56,236.11,96.43,11.81,4.82
64 Evan Daigeler,7,"2,4,6,8,10,13,18",7,0,6,0,8,4,8,6,2,1,0,0,0,0,0,0,0,0,113.61,47.25,14.20,5.91,86.85,9.58,14.48,1.60
33 Philippe Gaulin,7,"3,5,7,9,11,14,20",0,7,0,1,2,2,2,2,0,0,1,0,1,1,0,0,0,0,13.79,13.30,13.79,13.30,24.78,4.22,12.39,2.11
35 Sammy ten Den,7,"3,5,8,11,14,17,20",1,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,33.53,29.24,16.76,14.62,27.47,-2.07,13.74,-1.04
45 Thomas Cain,6,"1,2,4,10,15,18",6,0,4,0,3,2,2,2,1,1,0,1,0,0,0,0,0,0,47.07,46.96,23.53,23.48,57.34,57.33,28.67,28.66
17 Kaiden Yu,6,"3,7,11,12,14,17",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34 Rohan Smith,6,"3,5,9,11,14,20",0,6,0,1,2,2,1,1,1,0,0,1,1,1,0,1,0,0,0.00,0.00,0.00,0.00,16.12,15.94,16.12,15.94
15 Ben Willis,5,"5,7,9,12,20",0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.16,-6.22,9.16,-6.22,17.44,13.15,17.44,13.15
29 Isaac Bellini,5,"3,5,7,12,20",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20 Declan Brook,4,"7,14,16,17",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26 Mathieu Cormier,3,"9,11,12",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
