Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Philippe Gaulin,10,"2,3,6,10,11,13,14,15,18,19",1,9,1,8,13,8,12,10,3,1,0,1,0,0,0,2,0,0,100.41,50.54,8.37,4.21,94.63,35.03,9.46,3.50
17 Kaiden Yu,9,"2,4,8,11,14,16,18,19,20",0,9,0,6,6,5,6,6,0,2,0,0,1,0,1,1,0,0,96.32,75.63,16.05,12.60,81.79,61.19,13.63,10.20
22 Theo Chandler-Nantel,8,"1,5,7,9,10,11,13,17",6,2,6,2,28,8,27,24,4,3,1,1,0,0,0,1,0,0,363.90,216.94,14.00,8.34,226.74,31.74,9.45,1.32
07 Justin Daugherty,8,"3,6,9,12,15,17,19,20",2,6,2,4,7,5,6,6,1,1,2,1,0,0,0,1,0,0,67.74,57.33,11.29,9.55,105.98,88.71,17.66,14.78
92 Grayson Estabrooks,8,"3,4,8,12,14,16,18,20",0,8,0,4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,12.10,-5.29,12.10,-5.29,16.65,16.65,16.65,16.65
32 Kian Mashaie,8,"1,5,7,9,10,13,16,20",5,3,5,2,20,8,20,14,6,1,5,0,2,1,1,1,0,0,226.06,111.87,11.90,5.89,136.45,21.02,9.75,1.50
35 Sammy ten Den,8,"2,3,6,10,12,14,17,19",1,7,1,5,11,6,10,9,2,0,1,1,0,0,0,0,0,0,102.86,39.46,10.29,3.95,86.91,44.53,9.66,4.95
64 Evan Daigeler,8,"1,5,7,12,15,17,19,20",4,4,4,3,3,2,3,3,0,1,0,0,1,1,0,0,0,0,21.24,20.59,10.62,10.29,35.45,21.23,11.82,7.08
85 Antoine Turcotte,8,"2,4,8,10,11,13,15,18",1,7,1,5,7,6,5,7,0,0,2,2,0,0,0,0,0,0,59.45,13.15,11.89,2.63,95.85,66.48,13.69,9.50
97 Josh Moore,8,"1,5,7,9,10,12,13,17",6,2,6,1,17,6,14,17,0,2,0,3,0,0,0,0,0,0,136.91,63.26,10.53,4.87,214.23,110.86,12.60,6.52
45 Thomas Cain,7,"1,5,7,9,15,17,19",5,2,5,2,6,4,6,3,3,0,1,0,1,1,0,4,0,0,50.02,27.81,10.00,5.56,38.35,37.17,12.78,12.39
08 Chassy Jones,7,"2,4,8,10,12,14,16",0,7,0,3,18,6,17,16,2,1,0,1,3,3,0,0,0,0,137.58,55.54,10.58,4.27,158.42,59.83,9.90,3.74
26 Mathieu Cormier,7,"3,4,8,12,15,18,20",0,7,0,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,13.52,13.51,13.52,13.51,10.30,10.29,10.30,10.29
31 Spencer Burrell,7,"1,5,7,9,13,15,17",6,1,6,1,2,2,1,2,0,0,0,1,1,0,1,0,0,0,6.43,-2.93,6.43,-2.93,64.86,63.05,32.43,31.52
29 Isaac Bellini,7,"2,4,6,11,14,16,18",0,7,0,4,2,2,1,2,0,1,0,1,0,0,0,0,0,0,16.53,16.51,16.53,16.51,21.97,20.94,10.99,10.47
20 Declan Brook,7,"3,6,8,14,16,19,20",0,7,0,4,14,7,13,10,4,0,0,1,2,2,0,1,0,0,118.70,55.47,11.87,5.55,101.70,42.89,10.17,4.29
28 Connor Rycroft,6,"1,5,7,9,13,16",5,1,5,0,9,4,8,9,0,0,1,1,0,0,0,0,0,0,79.17,14.01,9.90,1.75,97.88,77.91,10.88,8.66
34 Rohan Smith,6,"2,3,6,8,11,18",0,6,0,4,6,3,5,4,2,1,1,1,0,0,0,2,0,0,44.93,20.59,8.99,4.12,65.71,34.45,16.43,8.61
15 Ben Willis,3,"4,6,11",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
