Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
97 Josh Moore,15,"2,4,6,7,9,10,11,13,14,15,16,18,21,22,24",12,3,10,1,34,13,29,34,0,0,3,5,2,2,0,0,0,0,292.58,111.70,10.84,4.14,414.03,286.72,12.18,8.43
09 Chase Alexander,15,"2,4,6,7,8,9,11,13,14,15,16,18,21,22,24",12,3,10,1,22,13,21,22,0,4,1,1,3,2,1,0,0,0,325.12,201.44,17.11,10.60,307.97,203.75,14.00,9.26
22 Theo Chandler-Nantel,14,"2,4,6,7,9,11,13,14,15,16,18,21,22,24",12,2,10,1,48,14,48,41,7,4,2,0,2,2,0,2,0,0,618.97,317.72,13.46,6.91,470.68,-72.46,11.48,-1.77
32 Kian Mashaie,13,"2,4,6,7,9,11,14,15,16,18,21,22,24",12,1,10,1,32,12,32,25,7,1,3,0,1,1,0,0,0,0,375.25,66.40,12.10,2.14,290.69,48.68,11.63,1.95
96 Jonah Walter,12,"1,3,5,8,10,12,13,15,17,19,20,23",0,12,0,3,6,5,5,1,5,0,0,1,0,0,0,1,0,0,67.09,46.13,13.42,9.23,17.26,17.26,17.26,17.26
28 Connor Rycroft,12,"2,4,6,7,9,11,14,16,18,21,22,24",12,0,10,0,12,8,12,12,0,1,0,0,0,0,0,0,0,0,111.71,0.07,9.31,0.01,171.19,126.02,14.27,10.50
50 Loic Cleveland,11,"1,3,5,8,10,12,13,15,17,19,23",0,11,0,3,3,3,2,3,0,0,0,1,2,2,0,0,0,0,0.00,0.00,0.00,0.00,46.40,44.32,15.47,14.77
20 Declan Brook,10,"2,4,6,7,9,14,16,18,21,24",10,0,8,0,29,9,26,26,3,1,1,3,0,0,0,0,0,0,276.86,91.92,10.65,3.54,321.71,135.72,12.37,5.22
08 Chassy Jones,10,"3,5,8,10,12,13,17,19,20,23",0,10,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,31.97,23.19,15.98,11.60,14.80,-3.90,7.40,-1.95
35 Sammy ten Den,8,"1,3,8,10,12,17,20,22",1,7,1,1,2,1,2,2,0,0,1,0,0,0,0,0,0,0,28.20,23.52,14.10,11.76,23.86,-0.50,11.93,-0.25
15 Ben Willis,8,"1,3,5,10,12,17,19,20",0,8,0,2,2,2,2,2,0,1,0,0,1,1,0,0,0,0,21.21,21.02,21.21,21.02,27.01,21.83,13.51,10.92
45 Thomas Cain,6,"2,7,11,16,22,24",6,0,6,0,3,2,2,3,0,0,0,1,0,0,0,0,0,0,13.74,-10.22,6.87,-5.11,43.68,29.26,14.56,9.75
26 Mathieu Cormier,6,"5,12,13,15,19,23",0,6,0,3,3,2,2,3,0,0,1,1,0,0,0,1,0,0,14.80,-3.90,7.40,-1.95,53.31,48.99,17.77,16.33
33 Philippe Gaulin,6,"1,3,8,12,17,23",0,6,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,17.40,17.23,17.40,17.23,0.00,0.00,0.00,0.00
07 Justin Daugherty,5,"6,10,14,20,23",2,3,1,0,4,1,4,4,0,0,1,0,0,0,0,0,0,0,36.41,-3.07,9.10,-0.77,28.70,17.44,7.17,4.36
17 Kaiden Yu,4,"1,3,5,8",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31 Spencer Burrell,4,"4,9,18,21",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34 Rohan Smith,2,"5,20",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64 Evan Daigeler,2,"19,23",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29 Isaac Bellini,2,"1,19",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92 Grayson Estabrooks,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
