Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
22 Theo Chandler-Nantel,12,"1,3,5,6,7,8,10,11,12,13,14,15",8,4,6,1,27,8,26,18,9,0,1,1,3,2,1,0,0,0,235.21,29.89,9.80,1.25,218.26,102.71,12.13,5.71
09 Chase Alexander,12,"1,2,3,5,6,8,10,11,12,13,14,15",8,4,6,1,28,9,25,27,1,1,0,3,5,5,0,1,0,0,223.57,133.09,11.18,6.65,359.57,88.53,13.32,3.28
97 Josh Moore,11,"1,3,4,6,7,10,11,12,13,14,15",7,4,5,2,28,9,26,26,2,1,2,2,4,3,1,4,0,0,230.23,69.10,10.01,3.00,320.74,164.74,12.34,6.34
28 Connor Rycroft,9,"1,3,6,8,10,12,13,14,15",8,1,6,1,6,4,5,6,0,0,0,1,0,0,0,0,0,0,46.33,1.61,9.27,0.32,74.08,41.35,12.35,6.89
32 Kian Mashaie,8,"1,3,6,8,10,12,13,14",8,0,6,0,31,7,31,28,3,1,1,0,2,2,0,0,0,0,307.68,160.37,10.61,5.53,248.02,-31.13,8.86,-1.11
08 Chassy Jones,7,"2,4,5,7,9,11,15",0,7,0,2,12,4,11,12,0,0,0,1,3,3,0,1,0,0,93.56,19.19,11.70,2.40,203.80,118.65,16.98,9.89
50 Loic Cleveland,7,"2,4,7,9,11,14,15",1,6,1,2,6,5,6,6,0,0,2,0,0,0,0,0,0,0,54.79,1.06,9.13,0.18,60.12,28.41,10.02,4.73
96 Jonah Walter,7,"2,4,7,8,11,14,15",2,5,2,2,10,5,10,7,3,3,0,0,0,0,0,1,0,0,215.87,155.03,21.59,15.50,79.61,51.57,11.37,7.37
20 Declan Brook,7,"1,3,6,8,10,12,13",7,0,5,0,12,6,12,9,3,2,0,0,0,0,0,1,0,0,223.58,70.66,18.63,5.89,97.81,71.29,10.87,7.92
85 Antoine Turcotte,6,"2,4,5,7,9,11",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Thomas Cain,3,"1,3,12",3,0,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,21.52,15.94,21.52,15.94,0.00,0.00,0.00,0.00
07 Justin Daugherty,3,"6,10,13",3,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.22,1.94,14.22,1.94,19.79,18.76,19.79,18.76
33 Philippe Gaulin,3,"2,5,9",0,3,0,0,3,2,3,1,2,0,0,0,0,0,0,0,0,0,38.66,29.81,12.89,9.94,7.87,-0.07,7.87,-0.07
26 Mathieu Cormier,3,"4,7,9",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15 Ben Willis,3,"2,4,9",0,3,0,1,2,2,2,2,0,0,0,0,1,1,0,0,0,0,16.13,11.44,16.13,11.44,21.30,19.37,10.65,9.69
29 Isaac Bellini,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31 Spencer Burrell,1,8,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,15.37,15.37,15.37,15.37,14.92,14.72,14.92,14.72
34 Rohan Smith,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35 Sammy ten Den,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
