Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
09 Chase Alexander,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19",7,11,4,9,48,16,45,44,4,4,3,3,5,5,0,2,0,0,491.69,217.63,12.29,5.44,572.76,324.25,13.02,7.37
22 Theo Chandler-Nantel,16,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,19",7,9,4,7,46,14,46,32,14,4,2,0,4,3,1,1,0,0,533.60,318.16,13.01,7.76,324.91,60.40,10.15,1.89
97 Josh Moore,15,"1,2,3,5,6,7,8,9,10,11,13,14,15,17,19",7,8,4,6,31,10,29,30,1,2,2,2,3,3,0,1,0,0,306.03,191.98,12.24,7.68,347.46,125.27,11.58,4.18
08 Chassy Jones,12,"4,6,7,8,9,10,12,13,15,16,18,19",2,10,2,8,23,8,19,22,1,1,2,4,6,5,1,0,0,0,150.87,54.67,11.61,4.21,249.46,127.67,11.34,5.80
50 Loic Cleveland,11,"3,4,6,7,9,10,12,15,16,18,19",3,8,3,6,15,8,13,10,5,1,0,2,1,1,0,5,0,0,166.65,84.99,13.89,7.08,147.75,118.40,14.77,11.84
28 Connor Rycroft,10,"1,2,3,5,6,8,11,13,14,17",6,4,3,3,10,6,10,10,0,0,1,0,2,0,2,1,0,0,93.93,8.13,9.39,0.81,130.65,106.83,13.07,10.68
32 Kian Mashaie,9,"1,2,3,5,6,8,11,13,15",7,2,4,2,18,8,17,13,5,1,0,1,1,1,0,1,0,0,171.76,100.42,10.73,6.28,153.04,82.30,11.77,6.33
15 Ben Willis,7,"4,7,9,14,17,18,19",0,7,0,5,5,3,5,5,0,0,0,0,2,1,1,1,0,0,33.61,14.35,8.40,3.59,61.29,40.53,12.26,8.11
35 Sammy ten Den,6,"4,8,10,12,15,17",1,5,1,3,7,4,6,7,0,0,1,1,0,0,0,0,0,0,44.27,3.79,7.38,0.63,71.53,49.37,10.22,7.05
33 Philippe Gaulin,5,"4,12,14,16,18",0,5,0,3,7,4,7,6,1,0,0,0,1,0,1,0,0,0,70.48,21.59,10.07,3.08,65.04,20.80,10.84,3.47
26 Mathieu Cormier,5,"7,10,13,17,19",0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31 Spencer Burrell,5,"1,9,11,14,17",2,3,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,27.13,24.51,13.56,12.25,28.49,28.16,14.25,14.08
20 Declan Brook,3,"1,5,11",3,0,1,0,3,2,3,2,1,0,0,0,0,0,0,1,0,0,36.10,14.86,12.03,4.95,17.55,-3.60,8.77,-1.80
07 Justin Daugherty,3,"12,16,18",0,3,0,3,3,2,3,3,0,0,1,0,0,0,0,0,0,0,30.88,10.16,10.29,3.39,33.75,9.57,11.25,3.19
96 Jonah Walter,2,"3,4",1,1,1,0,6,1,6,2,4,0,0,0,0,0,0,0,0,0,70.07,24.09,11.68,4.01,23.69,-2.29,11.84,-1.14
29 Isaac Bellini,2,"14,16",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64 Evan Daigeler,2,"2,18",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Thomas Cain,2,"2,5",2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
