Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
22 Theo Chandler-Nantel,9,"1,7,9,11,13,15,18,20,22",8,1,8,1,21,9,20,15,6,4,0,1,1,1,0,1,0,0,279.81,202.99,14.73,10.68,158.15,67.25,10.54,4.48
09 Chase Alexander,9,"1,7,9,11,13,15,18,20,22",8,1,8,1,6,5,5,6,0,0,2,1,0,0,0,1,0,0,65.11,36.01,13.02,7.20,104.46,85.18,17.41,14.20
20 Declan Brook,9,"1,7,9,11,13,15,18,20,22",8,1,8,1,11,6,11,9,2,0,1,0,1,1,0,0,0,0,113.03,88.25,12.56,9.81,118.39,63.90,13.15,7.10
97 Josh Moore,9,"1,7,9,11,12,15,18,20,22",7,2,7,1,10,6,9,9,1,2,1,1,1,1,0,1,0,0,86.10,45.60,10.76,5.70,155.17,113.28,17.24,12.59
32 Kian Mashaie,9,"1,7,9,11,13,15,18,20,22",8,1,8,1,13,7,12,8,5,2,3,1,0,0,0,0,0,0,151.31,81.87,12.61,6.82,82.70,37.69,10.34,4.71
35 Sammy ten Den,8,"2,4,6,8,10,14,17,21",0,8,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.22,-4.07,12.22,-4.07,16.68,0.57,16.68,0.57
07 Justin Daugherty,8,"3,7,9,11,13,15,18,20",6,2,6,2,4,4,2,4,0,0,1,2,2,1,1,0,0,0,6.30,6.15,6.30,6.15,65.91,55.06,16.48,13.77
15 Ben Willis,7,"2,4,6,10,14,17,21",0,7,0,3,3,3,3,3,0,0,1,0,0,0,0,1,0,0,40.74,24.93,13.58,8.31,81.31,69.50,27.10,23.17
08 Chassy Jones,7,"2,4,6,10,14,17,21",0,7,0,3,5,2,5,5,0,1,0,0,1,1,0,0,0,0,61.57,36.26,15.39,9.06,44.72,10.05,8.94,2.01
29 Isaac Bellini,7,"2,4,6,10,14,17,21",0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Thomas Cain,7,"1,5,9,13,15,18,22",5,2,5,2,4,3,2,4,0,1,0,2,1,0,1,0,0,0,38.12,9.61,19.06,4.80,48.31,35.39,12.08,8.85
96 Jonah Walter,7,"3,5,8,12,16,19,21",0,7,0,3,4,3,4,2,2,0,0,0,0,0,0,0,1,0,54.93,33.72,13.73,8.43,22.85,-8.76,11.42,-4.38
50 Loic Cleveland,7,"2,4,6,10,14,16,21",0,7,0,3,10,3,7,10,0,0,0,3,1,1,0,0,0,0,56.04,28.70,9.34,4.78,145.79,71.98,14.58,7.20
85 Antoine Turcotte,7,"2,4,6,10,14,17,21",0,7,0,3,8,3,8,5,3,1,1,0,0,0,0,0,0,0,156.66,77.27,19.58,9.66,76.16,32.51,15.23,6.50
64 Evan Daigeler,7,"3,5,8,12,16,17,19",0,7,0,4,6,3,5,5,1,1,0,1,0,0,0,1,0,0,44.01,-4.35,11.00,-1.09,61.91,43.89,12.38,8.78
34 Rohan Smith,6,"3,5,8,12,16,19",0,6,0,3,7,3,7,6,1,1,0,0,0,0,0,1,0,0,115.72,79.48,16.53,11.35,58.43,23.89,9.74,3.98
92 Grayson Estabrooks,6,"3,5,8,12,16,19",0,6,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20.65,18.04,10.32,9.02,26.61,2.31,13.30,1.16
17 Kaiden Yu,6,"3,5,8,12,16,19",0,6,0,3,4,3,2,4,0,0,0,2,0,0,0,0,0,0,24.80,-0.11,12.40,-0.05,75.62,42.63,18.90,10.66
33 Philippe Gaulin,6,"3,5,8,12,16,19",0,6,0,3,7,3,7,5,2,1,1,0,0,0,0,1,0,0,73.54,4.82,10.51,0.69,69.27,29.39,13.85,5.88
26 Mathieu Cormier,6,"4,6,10,14,17,19",0,6,0,2,3,2,3,3,0,1,1,0,0,0,0,0,0,0,58.14,43.55,19.38,14.52,34.57,18.64,11.52,6.21
31 Spencer Burrell,6,"1,7,11,13,20,22",6,0,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,14.17,13.87,14.17,13.87
26 Emile casagrand,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
