Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
97 Josh Moore,9,"1,4,7,10,11,13,17,19,21",8,1,8,0,32,7,30,30,2,1,4,2,1,0,1,2,0,0,307.52,156.97,10.25,5.23,325.75,103.96,10.86,3.47
22 Theo Chandler-Nantel,9,"1,4,7,10,11,13,17,19,21",8,1,8,0,54,8,54,45,9,2,1,0,1,1,0,1,0,0,583.72,256.36,11.01,4.84,428.42,-66.79,9.52,-1.48
09 Chase Alexander,9,"1,4,7,10,11,13,17,19,21",8,1,8,0,26,8,23,26,0,1,2,3,1,1,0,1,0,0,244.65,104.23,11.12,4.74,293.13,179.71,11.27,6.91
28 Connor Rycroft,9,"1,3,6,7,9,13,17,19,21",6,3,6,1,8,7,8,8,0,1,0,0,2,1,1,0,0,0,64.19,9.86,9.17,1.41,124.28,109.08,15.54,13.64
32 Kian Mashaie,8,"1,4,7,10,13,17,19,21",7,1,7,0,32,6,32,29,3,1,0,0,2,2,0,0,0,0,317.19,14.98,10.57,0.50,286.28,-3.82,9.87,-0.13
33 Philippe Gaulin,8,"3,5,8,12,14,15,18,20",0,8,0,4,3,2,3,0,3,0,0,0,0,0,0,0,0,0,28.45,9.06,9.48,3.02,0.00,0.00,0.00,0.00
85 Antoine Turcotte,7,"3,6,9,12,14,16,20",0,7,0,2,5,2,5,4,1,0,0,0,3,3,0,1,0,0,22.78,2.40,11.39,1.20,45.02,28.43,11.26,7.11
20 Declan Brook,7,"1,4,7,11,13,17,21",7,0,7,0,30,7,30,30,0,0,1,0,0,0,0,1,0,0,284.98,-7.08,9.83,-0.24,336.35,108.81,11.21,3.63
96 Jonah Walter,7,"2,5,8,10,14,16,20",0,7,0,4,9,5,8,3,6,1,1,1,1,1,0,1,0,0,142.81,130.91,20.40,18.70,40.63,36.34,13.54,12.11
50 Loic Cleveland,7,"2,3,6,9,14,16,20",0,7,0,3,13,4,12,13,0,1,0,1,0,0,0,0,0,0,133.40,64.22,11.12,5.35,126.55,44.30,9.73,3.41
08 Chassy Jones,7,"2,5,8,10,14,16,20",0,7,0,4,7,4,7,6,1,1,2,0,1,1,0,1,0,0,64.46,43.63,10.74,7.27,53.60,8.42,8.93,1.40
29 Isaac Bellini,6,"6,9,12,14,18,20",0,6,0,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,17.54,-3.07,8.77,-1.54,57.40,51.04,28.70,25.52
17 Kaiden Yu,6,"2,5,8,10,18,20",0,6,0,3,3,3,2,3,0,1,0,1,0,0,0,0,0,0,32.17,30.49,16.09,15.25,66.98,66.58,22.33,22.19
34 Rohan Smith,6,"3,6,9,12,15,16",0,6,0,2,4,3,3,3,1,0,1,1,2,1,1,2,0,0,30.93,19.44,15.47,9.72,42.03,23.34,14.01,7.78
35 Sammy ten Den,6,"2,5,8,12,15,18",0,6,0,4,4,2,4,4,0,1,0,0,0,0,0,0,0,0,62.99,47.12,15.75,11.78,34.05,-16.78,8.51,-4.20
15 Ben Willis,6,"2,5,8,12,15,18",0,6,0,4,3,2,2,3,0,0,0,1,0,0,0,0,0,0,26.36,25.43,13.18,12.72,46.14,33.13,15.38,11.04
07 Justin Daugherty,6,"4,7,11,13,15,19",5,1,5,1,14,6,12,14,0,0,1,2,0,0,0,0,0,0,109.75,-9.90,9.15,-0.83,142.58,95.81,10.18,6.84
64 Evan Daigeler,6,"2,5,8,12,15,18",0,6,0,4,3,1,3,3,0,0,0,0,1,1,0,0,0,0,16.48,2.37,8.24,1.18,41.12,38.87,13.71,12.96
26 Mathieu Cormier,5,"3,6,9,14,16",0,5,0,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,9.38,0.00,9.38,0.00,22.92,3.50,11.46,1.75
31 Spencer Burrell,5,"1,4,11,17,21",5,0,5,0,3,2,2,3,0,0,0,1,1,0,1,0,0,0,17.46,9.79,8.73,4.90,35.70,35.53,11.90,11.84
45 Thomas Cain,4,"3,11,16,19",2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,1,0,0,24.07,23.95,12.04,11.97,29.42,26.23,14.71,13.12
92 Grayson Estabrooks,4,"6,9,15,18",0,4,0,2,3,2,3,2,1,1,0,0,0,0,0,1,0,0,38.02,28.52,12.67,9.51,32.07,17.73,16.03,8.86
