Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
96 Jonah Walter,8,"2,5,6,9,10,11,17,18",2,6,1,6,16,6,14,11,5,1,0,2,0,0,0,1,0,0,134.79,17.42,9.63,1.24,133.37,44.62,12.12,4.06
09 Chase Alexander,8,"1,4,8,10,11,14,16,17",4,4,3,3,33,8,30,33,0,0,3,3,3,3,0,1,0,0,278.66,26.88,11.15,1.08,310.98,226.99,9.42,6.88
08 Chassy Jones,8,"2,5,6,9,10,12,16,18",1,7,1,6,21,6,20,21,0,1,0,1,4,4,0,0,0,0,158.76,74.09,10.58,4.94,213.01,41.45,10.14,1.97
97 Josh Moore,7,"1,4,8,10,11,15,17",4,3,3,3,20,6,20,19,1,2,2,0,1,0,1,0,0,0,186.97,83.33,9.35,4.17,208.69,101.40,10.98,5.34
85 Antoine Turcotte,7,"2,5,6,10,11,14,18",1,6,1,6,12,5,11,10,2,0,0,1,1,1,0,0,0,0,123.86,48.82,12.39,4.88,116.26,-8.28,11.63,-0.83
35 Sammy ten Den,7,"2,5,6,9,12,15,18",1,6,1,6,12,6,12,12,0,3,0,0,1,0,1,0,0,0,118.50,34.84,9.87,2.90,134.48,40.54,11.21,3.38
50 Loic Cleveland,7,"2,5,6,9,11,15,18",1,6,1,6,17,6,15,14,3,0,2,2,3,2,1,2,0,0,140.63,76.24,10.82,5.86,136.02,68.98,9.72,4.93
17 Kaiden Yu,7,"3,7,9,11,13,15,18",1,6,1,4,11,6,11,11,0,2,1,0,0,0,0,0,0,0,104.54,38.87,9.50,3.53,147.06,124.25,13.37,11.30
22 Theo Chandler-Nantel,6,"1,4,8,10,11,16",3,3,3,2,40,6,40,31,9,2,0,0,2,2,0,1,0,0,428.13,123.49,11.27,3.25,295.12,-44.35,9.52,-1.43
20 Declan Brook,6,"1,4,8,13,14,17",4,2,3,2,20,5,18,18,2,1,0,2,1,0,1,0,0,0,193.31,76.24,10.74,4.24,186.62,42.31,10.37,2.35
15 Ben Willis,6,"2,5,6,12,15,18",1,5,1,5,3,2,2,2,1,0,0,1,0,0,0,1,0,0,18.76,5.75,9.38,2.88,27.51,26.18,13.76,13.09
33 Philippe Gaulin,5,"2,5,6,12,15",0,5,0,5,5,4,5,4,1,0,1,0,0,0,0,0,0,0,57.66,11.18,11.53,2.24,48.26,18.06,12.07,4.52
32 Kian Mashaie,5,"1,4,8,14,16",3,2,3,1,33,5,33,28,5,1,1,0,0,0,0,0,0,0,343.39,159.68,10.41,4.84,276.42,10.86,9.87,0.39
45 Thomas Cain,5,"1,7,13,16,17",2,3,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,5.44,-2.58,5.44,-2.58,15.53,5.65,15.53,5.65
64 Evan Daigeler,5,"3,7,12,14,16",0,5,0,2,8,3,8,7,1,0,1,0,1,0,1,0,0,0,65.24,34.09,9.32,4.87,55.08,29.95,7.87,4.28
28 Connor Rycroft,5,"3,8,10,13,17",2,3,1,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,35.58,12.42,11.86,4.14,22.14,2.58,7.38,0.86
29 Isaac Bellini,4,"3,7,12,14",0,4,0,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,8.11,6.08,8.11,6.08,30.36,14.41,15.18,7.20
92 Grayson Estabrooks,4,"3,7,13,14",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26 Mathieu Cormier,4,"3,7,12,15",0,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.49,-3.06,9.49,-3.06,12.63,1.02,12.63,1.02
31 Spencer Burrell,4,"1,4,13,17",3,1,2,1,2,2,2,1,1,0,1,0,0,0,0,1,0,0,18.85,2.04,9.42,1.02,15.78,10.86,15.78,10.86
07 Justin Daugherty,4,"4,8,13,16",2,2,2,1,8,4,7,8,0,0,0,1,0,0,0,2,0,0,70.68,-1.24,10.10,-0.18,90.68,53.12,11.33,6.64
34 Rohan Smith,3,"3,7,9",0,3,0,1,4,2,4,4,0,1,0,0,0,0,0,0,0,0,53.63,45.22,13.41,11.30,52.43,32.85,13.11,8.21
26 Emile casagrand,1,9,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,26.52,26.34,26.52,26.34
