Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
96 Jonah Walter,12,"2,3,5,7,8,9,11,12,14,16,17,19",1,11,1,5,15,8,14,5,10,1,1,1,2,2,0,0,0,0,150.20,69.77,12.52,5.81,74.28,62.04,14.86,12.41
08 Chassy Jones,11,"2,3,5,7,8,9,11,12,16,17,19",1,10,1,5,9,5,9,9,0,1,1,0,2,2,0,0,0,0,136.58,125.86,19.51,17.98,89.82,15.52,9.98,1.72
15 Ben Willis,10,"2,3,5,7,8,9,11,12,16,17",1,9,1,5,5,4,4,5,0,0,0,1,0,0,0,0,0,0,33.46,15.86,8.36,3.97,96.45,84.68,19.29,16.94
97 Josh Moore,10,"1,3,4,5,6,10,13,15,18,20",7,3,6,1,14,7,11,14,0,1,0,3,1,1,0,1,0,0,110.99,56.51,11.10,5.65,265.70,206.13,18.98,14.72
09 Chase Alexander,10,"1,2,4,6,7,10,13,15,18,20",7,3,6,3,23,10,23,23,0,6,2,0,1,1,0,1,0,0,406.73,271.68,18.49,12.35,276.33,102.62,12.01,4.46
22 Theo Chandler-Nantel,9,"1,4,6,7,10,13,15,18,20",7,2,6,2,19,8,19,12,7,1,2,0,1,1,0,0,0,0,255.32,134.32,14.18,7.46,190.44,104.56,15.87,8.71
50 Loic Cleveland,9,"2,5,7,9,11,12,14,16,19",1,8,1,4,12,7,11,11,1,2,1,1,1,1,0,1,0,0,117.78,44.68,11.78,4.47,160.71,125.06,14.61,11.37
32 Kian Mashaie,8,"1,4,6,10,13,15,18,20",7,1,6,1,13,4,12,11,2,0,0,1,0,0,0,0,0,0,146.99,95.42,12.25,7.95,122.37,-0.43,11.12,-0.04
33 Philippe Gaulin,7,"2,7,8,14,16,17,19",1,6,1,3,7,3,7,5,2,1,0,0,0,0,0,0,0,0,86.82,33.71,12.40,4.82,57.28,28.76,11.46,5.75
35 Sammy ten Den,7,"2,5,10,14,16,17,19",1,6,1,2,7,3,6,6,1,0,0,1,1,1,0,1,0,0,52.69,31.40,10.54,6.28,63.99,-5.91,10.66,-0.99
20 Declan Brook,7,"1,4,6,13,15,18,20",7,0,6,0,13,6,12,9,4,0,3,1,0,0,0,0,0,0,150.05,79.35,13.64,7.21,89.90,24.78,9.99,2.75
26 Mathieu Cormier,6,"3,5,9,10,11,12",0,6,0,3,4,2,3,4,0,0,0,1,2,2,0,0,0,0,14.23,13.60,14.23,13.60,48.68,15.22,12.17,3.80
64 Evan Daigeler,6,"6,12,14,16,17,20",3,3,3,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,21.93,-3.49,10.96,-1.75,21.05,19.68,10.52,9.84
45 Thomas Cain,5,"1,8,13,14,18",3,2,3,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,9.21,-4.35,9.21,-4.35,29.09,22.58,14.54,11.29
34 Rohan Smith,5,"3,8,9,10,11",0,5,0,4,2,2,1,2,0,0,1,1,0,0,0,2,0,0,18.91,18.44,18.91,18.44,28.48,17.96,14.24,8.98
07 Justin Daugherty,5,"4,13,15,18,20",5,0,4,0,7,4,6,7,0,0,1,1,2,1,1,1,0,0,59.35,-10.93,11.87,-2.19,120.12,102.83,17.16,14.69
29 Isaac Bellini,5,"3,8,9,14,19",0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31 Spencer Burrell,5,"1,4,6,12,15",4,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.23,10.16,11.23,10.16,8.31,8.06,8.31,8.06
92 Grayson Estabrooks,3,"11,17,19",0,3,0,1,4,1,4,4,0,0,0,0,1,1,0,0,0,0,19.84,-7.47,6.61,-2.49,59.34,40.38,14.83,10.09
